Date,Now,Open,High,Low,Volueme,Rate
2015-05-04,46.800,46.500,47.100,46.400,224,1.41
2015-05-03,46.150,46.150,46.150,46.150,155,0.00
2015-04-30,46.150,46.900,46.900,45.650,229,-1.60
2015-04-29,46.900,47.050,47.400,46.300,232,-0.11
2015-04-28,46.950,46.150,46.950,45.700,226,2.51
2015-04-27,45.800,47.300,47.500,45.400,361,-2.97
2015-04-26,47.200,47.200,47.200,47.200,028,0.00
2015-04-24,47.200,46.700,47.250,46.500,439,3.06
2015-04-23,45.800,46.400,46.800,45.650,499,1.22
2015-04-22,45.250,45.700,46.100,45.250,368,0.22
2015-04-21,45.150,44.600,45.500,44.250,326,2.03
2015-04-20,44.250,44.100,44.400,43.600,235,-0.67
2015-04-19,44.550,44.550,44.550,44.550,413,0.00
2015-04-17,44.550,44.700,44.750,44.050,214,0.11
2015-04-16,44.500,44.750,44.900,44.150,209,0.45
2015-04-15,44.300,44.000,44.500,44.000,208,0.68
2015-04-14,44.000,44.250,44.400,43.700,211,-0.45
2015-04-13,44.200,44.400,44.500,43.800,334,1.38
2015-04-12,43.600,43.600,43.600,43.600,008,0.00
2015-04-10,43.600,42.850,43.800,42.700,650,4.06
2015-04-09,41.900,42.000,42.550,41.550,558,-1.64
2015-04-08,42.600,43.900,44.150,42.450,526,-3.07
2015-04-07,43.950,45.000,45.050,43.500,368,-1.79
2015-04-06,44.750,44.450,45.100,44.250,207,1.24
2015-04-05,44.200,44.200,44.200,44.200,210,0.00
2015-04-03,44.200,44.300,44.800,44.000,269,-1.34
2015-04-02,44.800,44.550,45.350,44.100,314,-0.44
2015-04-01,45.000,45.950,46.200,44.900,200,-1.21
2015-03-31,45.550,46.300,46.350,45.450,239,0.11
2015-03-30,45.500,46.000,46.350,45.100,265,-0.66
2015-03-29,45.800,45.800,45.800,45.800,068,0.00
2015-03-27,45.800,46.150,46.400,45.400,443,-2.55
2015-03-26,47.000,47.250,47.500,46.550,440,-2.69
2015-03-25,48.300,48.000,48.350,47.850,182,0.63
2015-03-24,48.000,47.700,48.200,47.550,205,-0.31
2015-03-23,48.150,47.100,48.200,47.050,378,2.77
2015-03-20,46.850,46.450,46.850,45.850,190,0.97
2015-03-19,46.400,46.950,47.000,46.300,198,0.32
2015-03-18,46.250,46.250,46.400,45.600,277,0.00
